source,target,kind,label,loop,call
file:arch_builder/__init__.py,import:primitive_matrix,imports,,,
file:arch_builder/__init__.py,import:hybrid_scanner,imports,,,
file:arch_builder/__init__.py,import:simulator,imports,,,
file:arch_builder/__init__.py,import:executor,imports,,,
file:arch_builder/__init__.py,import:model,imports,,,
file:arch_builder/audio_frontend.py,import:__future__,imports,,,
file:arch_builder/audio_frontend.py,import:math,imports,,,
file:arch_builder/audio_frontend.py,import:dataclasses,imports,,,
file:arch_builder/audio_frontend.py,import:typing,imports,,,
file:arch_builder/audio_frontend.py,import:torch,imports,,,
file:arch_builder/audio_frontend.py,import:torch.nn,imports,,,
file:arch_builder/audio_frontend.py,import:torch.nn.functional,imports,,,
file:arch_builder/audio_frontend.py,import:model,imports,,,
file:arch_builder/audio_frontend.py,class:arch_builder/audio_frontend.py:AudioBatch,defines,,,
file:arch_builder/audio_frontend.py,class:arch_builder/audio_frontend.py:SyntheticAudioOrderTask,defines,,,
file:arch_builder/audio_frontend.py,class:arch_builder/audio_frontend.py:AudioFrontendBase,defines,,,
file:arch_builder/audio_frontend.py,class:arch_builder/audio_frontend.py:RawBasicAudioFrontend,defines,,,
file:arch_builder/audio_frontend.py,class:arch_builder/audio_frontend.py:ConvScaffoldAudioFrontend,defines,,,
file:arch_builder/audio_frontend.py,class:arch_builder/audio_frontend.py:StructuredMatrixAudioFrontend,defines,,,
file:arch_builder/audio_frontend.py,class:arch_builder/audio_frontend.py:AudioMatrixClassifier,defines,,,
file:arch_builder/audio_frontend.py,func:arch_builder/audio_frontend.py:AudioBatch.x,defines,,,
class:arch_builder/audio_frontend.py:AudioBatch,func:arch_builder/audio_frontend.py:AudioBatch.x,owns,,,
func:arch_builder/audio_frontend.py:AudioBatch.x,state:arch_builder/audio_frontend.py:AudioBatch:waveforms,reads_state,,,
file:arch_builder/audio_frontend.py,func:arch_builder/audio_frontend.py:_dct_basis,defines,,,
file:arch_builder/audio_frontend.py,func:arch_builder/audio_frontend.py:SyntheticAudioOrderTask.__init__,defines,,,
class:arch_builder/audio_frontend.py:SyntheticAudioOrderTask,func:arch_builder/audio_frontend.py:SyntheticAudioOrderTask.__init__,owns,,,
func:arch_builder/audio_frontend.py:SyntheticAudioOrderTask.__init__,state:arch_builder/audio_frontend.py:SyntheticAudioOrderTask:_make_window,reads_state,,,
func:arch_builder/audio_frontend.py:SyntheticAudioOrderTask.__init__,state:arch_builder/audio_frontend.py:SyntheticAudioOrderTask:high_freq,writes_state,,,
func:arch_builder/audio_frontend.py:SyntheticAudioOrderTask.__init__,state:arch_builder/audio_frontend.py:SyntheticAudioOrderTask:low_freq,writes_state,,,
func:arch_builder/audio_frontend.py:SyntheticAudioOrderTask.__init__,state:arch_builder/audio_frontend.py:SyntheticAudioOrderTask:_time,writes_state,,,
func:arch_builder/audio_frontend.py:SyntheticAudioOrderTask.__init__,state:arch_builder/audio_frontend.py:SyntheticAudioOrderTask:_window2,writes_state,,,
func:arch_builder/audio_frontend.py:SyntheticAudioOrderTask.__init__,state:arch_builder/audio_frontend.py:SyntheticAudioOrderTask:burst_width,writes_state,,,
func:arch_builder/audio_frontend.py:SyntheticAudioOrderTask.__init__,state:arch_builder/audio_frontend.py:SyntheticAudioOrderTask:_window1,writes_state,,,
func:arch_builder/audio_frontend.py:SyntheticAudioOrderTask.__init__,state:arch_builder/audio_frontend.py:SyntheticAudioOrderTask:length,writes_state,,,
func:arch_builder/audio_frontend.py:SyntheticAudioOrderTask.__init__,state:arch_builder/audio_frontend.py:SyntheticAudioOrderTask:noise_std,writes_state,,,
file:arch_builder/audio_frontend.py,func:arch_builder/audio_frontend.py:SyntheticAudioOrderTask._make_window,defines,,,
class:arch_builder/audio_frontend.py:SyntheticAudioOrderTask,func:arch_builder/audio_frontend.py:SyntheticAudioOrderTask._make_window,owns,,,
func:arch_builder/audio_frontend.py:SyntheticAudioOrderTask._make_window,state:arch_builder/audio_frontend.py:SyntheticAudioOrderTask:length,reads_state,,,
func:arch_builder/audio_frontend.py:SyntheticAudioOrderTask._make_window,state:arch_builder/audio_frontend.py:SyntheticAudioOrderTask:_time,reads_state,,,
file:arch_builder/audio_frontend.py,func:arch_builder/audio_frontend.py:SyntheticAudioOrderTask.sample,defines,,,
class:arch_builder/audio_frontend.py:SyntheticAudioOrderTask,func:arch_builder/audio_frontend.py:SyntheticAudioOrderTask.sample,owns,,,
func:arch_builder/audio_frontend.py:SyntheticAudioOrderTask.sample,state:arch_builder/audio_frontend.py:SyntheticAudioOrderTask:high_freq,reads_state,,,
